user_id,预测结果
RaWo4dot7l,0
CjLuoG%Y93,0
ycwl!Uu%ut,0
pIfzo8WDm1,0
b%DlFzgWF@,0
Z2C2o2!Wn6,0
EEPTUYn0^k,0
xEN#b4$f4g,0
jLN3UVi^@4,0
9aOJm3JW8g,0
XTeof!!G2g,0
9Z55a!NPjb,0
f0KdzCWzpi,0
A$OO*G5G0A,0
z#MePfTsyD,0
n*ebqjCuX3,0
9#Ro*!k*GX,0
30WGR%FEYn,0
1zeEEjz6vo,0
SInux#b1Pf,0
ObV^g98tMB,0
kc@QihcPaB,1
5@g0i8GHjg,0
C#msq3gcRe,0
BjCvNmR6qT,0
cxkqZ4f1zu,0
XUrJr7Y0A@,0
0#qgvOMkI6,0
NyUPWNco$w,0
6ugEb6QnjY,0
bORyDy8@83,1
E$h*OD7ExK,1
#Pq!ch!c^%,0
8amnaT9c9%,0
psPSbzrH8u,0
qF@!$dGjuH,0
8MZh9idA6l,1
i@inZXcMk1,0
3fzW7CabvT,0
yeIuRJEm!Z,0
&Bmifa6m0N,0
ia!OIGoY&U,0
de58bfdY3L,0
blpV0CRP$a,0
p3WuoikAVf,1
!udq8XKJh1,1
b$29LMF&be,0
nrQNAwnwSR,0
lVGwBJ713o,0
Un^nobQktd,0
SJ&U2*sGAC,0
xk&q5FoCch,0
tJcnHRS#$B,0
r@5Mf$Xbs*,0
TDXqQGA#9f,0
6^3L%2d&!c,0
$sEPxEGA!5,0
wURpyk*9Vo,1
u$IR@v*#Ek,0
wq8&mpXJOQ,0
nbER&zEZ8p,0
yZfgkg8ogB,0
3@1om5Q&&P,0
nsnWHYEER$,0
XIX&E1nZ2F,0
NEgqMjsHB*,0
b9tb9YiBvd,0
iCBP#ZKmWk,0
1Ms%oMFoDQ,0
*i@MTOJf5K,0
vUUk#5lGr$,0
PukgfX*9N$,0
rWCsm!1h^A,0
jl$5*F23@9,0
x7JbahpCfr,0
HjxlQY8XY8,0
#!9wHkhgbr,0
vwWir&*I#3,0
Qn!V^jetE$,0
dPzuORbC3Z,0
2mbcBgq^B0,0
t&LMLs#L#v,0
q3Qcb1Q0aH,0
oLc#@c7SCs,0
Pq7ePv4R2U,0
lHm*mQo#7T,1
OmNON1jBRb,0
cm*3L&gK5r,0
i%r$6v&7eK,0
ccsE%10SUP,0
p3Cs9VvARC,0
n#n2wiroTO,0
vFWXInzLQj,0
JIJo$gJkWa,0
%Zbl0K*39&,0
3G57hLB*Dq,0
Xn4bf9tQCl,0
ggGSnIACIc,0
AL7lxeoTOL,0
aIiqgnPu#m,0
HIA8SfMUPD,0
@y7!2cDmlq,0
*YuhpzXgzK,0
9*NgjRTQp5,0
0zg9!WL&*c,0
%YUAYUzRTJ,0
u!BnC2M5WL,0
fPzGcPUiw$,0
XHCtUtJmrt,0
*YexMyDWmD,0
DdxlTlm@br,0
4SdPkgoB%6,0
r0y8PgWGM!,0
yuW!tHzwgf,0
@8v^C05R35,0
&5e2$xTOI2,0
TWvGpZndQN,0
3wBE0tPuh8,0
5hsnZi*B99,0
634zx2jy48,0
pTkZ5j@rqE,0
H8B6*QMZ8e,0
GUJS&8pMZm,0
